Отметка времени;Как часто Вы переходите на красный свет?;Если Вы переходите на красный, то с чем это связано чаще всего?;Переходите ли Вы на красный, если видите, что другие пешеходы перебегают?;Перешли бы Вы дорогу на красный свет, если бы на дороге не было машин?;Перешли бы Вы дорогу на красный свет, если бы на дороге машины стояли в пробке?;Перейдите ли Вы дорогу, если Вам горит красный, а машины продолжают движение с небольшой скоростью?;Переходите ли Вы на красный сигнал, если у пешеходного перехода плохое освещение?;Переходите ли Вы на красный сигнал на пешеходных переходах, оборудованных кнопкой вызова зеленого?;Как Вы считаете, пойдут ли другие люди на красный при отсутствии машин, если запрещающий сигнал горит слишком долго?;Чувствуете ли Вы себя безопасно, переходя на красный сигнал?;Какое время Вы считаете приемлемым для ожидания зеленого, чтобы не было потребности перехода на красный?;При наличии ожидания, указанного Вами в вопросе выше, будете ли Вы переходить на красный?
4.21.2024 19:32:03;Никогда;Не перехожу на красный;Не перехожу на красный;Дождусь зеленый;Дождусь зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что пойдет несколько человек;Не чувствую себя безопасно и не перехожу;30 секунд;Не перехожу на красный
4.21.2024 19:36:13;Никогда;Не перехожу на красный;Не перехожу на красный;Дождусь зеленый;Дождусь зеленый;Дождусь зеленый;Нет;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что многие пойдут;Не чувствую себя безопасно и не перехожу;60 секунд;Не перехожу на красный
4.21.2024 19:39:43;Никогда;Не перехожу на красный;Не перехожу на красный;Дождусь зеленый;Дождусь зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что многие пойдут;Не чувствую себя безопасно и не перехожу;Столько, сколько требуется для безопасности;Не перехожу на красный
4.21.2024 19:41:36;Несколько раз в неделю;Тороплюсь на подъезжающий общественный транспорт;Не перехожу на красный;Перейду вне зависимости сколько осталось ждать зеленый;Дождусь зеленый;Дождусь зеленый;Да;Перехожу;Считаю, что многие пойдут;чувствую себя безопасно;Менее 20 секунд;Думаю, что не буду
4.21.2024 19:43:25;Несколько раз в год;Тороплюсь на работу/по делам;Не перехожу на красный;Перейду, если еще долго ждать зеленый;Дождусь зеленый;Дождусь зеленый;Нет;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что многие пойдут;Не чувствую себя безопасно, но перехожу так как тороплюсь или по другим причинам;30 секунд;Думаю, что не буду
4.21.2024 19:46:46;Никогда;Не перехожу на красный;Не перехожу на красный;Дождусь зеленый;Дождусь зеленый;Дождусь зеленый;Нет;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что многие пойдут;Не чувствую себя безопасно и не перехожу;Столько, сколько требуется для безопасности;Не перехожу на красный
4.21.2024 19:47:19;Несколько раз в год;Тороплюсь на подъезжающий общественный транспорт;Да, перехожу вместе с ними;Перейду вне зависимости сколько осталось ждать зеленый;Перейду, если еще долго ждать зеленый;Дождусь зеленый;Нет;Перехожу;Считаю, что многие пойдут;Не чувствую себя безопасно, но перехожу так как тороплюсь или по другим причинам;30 секунд;Думаю, что не буду
4.21.2024 19:56:04;Несколько раз в год;Тороплюсь на подъезжающий общественный транспорт;Не перехожу на красный;Дождусь зеленый;Дождусь зеленый;Дождусь зеленый;Нет;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что пойдет несколько человек;Не чувствую себя безопасно и не перехожу;Столько, сколько требуется для безопасности;Не перехожу на красный
4.21.2024 19:57:04;Несколько раз в год;Красный свет горит слишком долго;Перехожу на красный, даже если другие не перебегают;Перейду, если еще долго ждать зеленый;Дождусь зеленый;Дождусь зеленый;Нет;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что многие пойдут;Не чувствую себя безопасно, но перехожу так как тороплюсь или по другим причинам;30 секунд;Думаю, что продолжу переходить на красный при необходимости
4.21.2024 20:01:03;Никогда;Не перехожу на красный;Не перехожу на красный;Дождусь зеленый;Дождусь зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что пойдет несколько человек;Не чувствую себя безопасно и не перехожу;60 секунд;Не перехожу на красный
4.21.2024 20:11:15;Никогда;Не перехожу никогда;Не перехожу на красный;Дождусь зеленый;Дождусь зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что многие пойдут;Не чувствую себя безопасно и не перехожу;30 секунд;Не перехожу на красный
4.21.2024 20:13:59;Несколько раз в год;Тороплюсь на подъезжающий общественный транспорт;Да, перехожу вместе с ними;Перейду вне зависимости сколько осталось ждать зеленый;Перейду вне зависимости сколько осталось ждать зеленый;Дождусь зеленый;Нет;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что многие пойдут;Не чувствую себя безопасно, но перехожу так как тороплюсь или по другим причинам;Столько, сколько требуется для безопасности;Думаю, что продолжу переходить на красный при необходимости
4.21.2024 20:15:03;Никогда;Не перехожу на красный;Не перехожу на красный;Дождусь зеленый;Дождусь зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что многие пойдут;Не чувствую себя безопасно и не перехожу;30 секунд;Не перехожу на красный
4.21.2024 20:17:12;Несколько раз в месяц;Красный свет горит слишком долго;Перехожу на красный, даже если другие не перебегают;Перейду, если еще долго ждать зеленый;Дождусь зеленый;Дождусь зеленый;Нет;Перехожу;Считаю, что многие пойдут;чувствую себя безопасно;20 секунд;Думаю, что продолжу переходить на красный при необходимости
4.21.2024 20:21:12;Несколько раз в год;Красный свет горит слишком долго;Да, перехожу вместе с ними;Перейду, если еще долго ждать зеленый;Дождусь зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Перехожу;Считаю, что многие пойдут;Не чувствую себя безопасно и не перехожу;60 секунд;Думаю, что продолжу переходить на красный при необходимости
4.21.2024 20:26:08;Никогда;Не перехожу на красный;Не перехожу на красный;Дождусь зеленый;Дождусь зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что пойдет несколько человек;Не чувствую себя безопасно и не перехожу;Столько, сколько требуется для безопасности;Не перехожу на красный
4.21.2024 20:28:41;Несколько раз в год;Нет машин;Не перехожу на красный;Перейду, если еще долго ждать зеленый;Перейду, если еще долго ждать зеленый;Дождусь зеленый;Нет;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что многие пойдут;Не чувствую себя безопасно, но перехожу так как тороплюсь или по другим причинам;30 секунд;Думаю, что не буду
4.21.2024 20:34:11;Никогда;Не перехожу на красный;Не перехожу на красный;Дождусь зеленый;Дождусь зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что многие пойдут;Не чувствую себя безопасно и не перехожу;30 секунд;Не перехожу на красный
4.21.2024 20:43:00;Несколько раз в месяц;Тороплюсь на работу/по делам;Перехожу на красный, даже если другие не перебегают;Перейду, если еще долго ждать зеленый;Дождусь зеленый;Дождусь зеленый;Нет;Перехожу;Считаю, что многие пойдут;Не чувствую себя безопасно, но перехожу так как тороплюсь или по другим причинам;Менее 20 секунд;Думаю, что продолжу переходить на красный при необходимости
4.21.2024 20:43:08;Несколько раз в год;Нет машин;Не перехожу на красный;Перейду вне зависимости сколько осталось ждать зеленый;Дождусь зеленый;Дождусь зеленый;Нет;Перехожу;Считаю, что пойдет несколько человек;Не чувствую себя безопасно, но перехожу так как тороплюсь или по другим причинам;Столько, сколько требуется для безопасности;Думаю, что не буду
4.21.2024 21:04:14;Никогда;Не перехожу на красный;Не перехожу на красный;Дождусь зеленый;Дождусь зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что многие пойдут;Не чувствую себя безопасно и не перехожу;Столько, сколько требуется для безопасности;Не перехожу на красный
4.21.2024 21:05:40;Никогда;Не перехожу на красный;Не перехожу на красный;Дождусь зеленый;Дождусь зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что пойдет несколько человек;Не чувствую себя безопасно и не перехожу;60 секунд;Не перехожу на красный
4.21.2024 21:06:17;Никогда;Нет машин ;Не перехожу на красный;Перейду, если еще долго ждать зеленый;Дождусь зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что многие пойдут;чувствую себя безопасно;Столько, сколько требуется для безопасности;Думаю, что продолжу переходить на красный при необходимости
4.21.2024 21:33:27;Несколько раз в неделю;Тороплюсь на работу/по делам;Перехожу на красный, даже если другие не перебегают;Перейду, если еще долго ждать зеленый;Перейду, если еще долго ждать зеленый;Дождусь зеленый;Да;Перехожу;Считаю, что многие пойдут;Не чувствую себя безопасно, но перехожу так как тороплюсь или по другим причинам;30 секунд;Думаю, что продолжу переходить на красный при необходимости
4.21.2024 21:37:47;Несколько раз в год;Тороплюсь на подъезжающий общественный транспорт;Не перехожу на красный;Дождусь зеленый;Дождусь зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что многие пойдут;Не чувствую себя безопасно, но перехожу так как тороплюсь или по другим причинам;Столько, сколько требуется для безопасности;Не перехожу на красный
4.21.2024 21:38:22;Никогда;Не перехожу на красный;Не перехожу на красный;Дождусь зеленый;Дождусь зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что пойдет несколько человек;Не чувствую себя безопасно и не перехожу;Столько, сколько требуется для безопасности;Не перехожу на красный
4.21.2024 21:39:59;Несколько раз в год;Тороплюсь на подъезжающий общественный транспорт;Не перехожу на красный;Перейду вне зависимости сколько осталось ждать зеленый;Дождусь зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что пойдет несколько человек;Не чувствую себя безопасно и не перехожу;Столько, сколько требуется для безопасности;Не перехожу на красный
4.21.2024 21:41:01;Несколько раз в месяц;Дорога свободна до следующего светофора;Не перехожу на красный;Перейду, если еще долго ждать зеленый;Дождусь зеленый;Дождусь зеленый;Нет;Перехожу;Считаю, что пойдет несколько человек;чувствую себя безопасно;Столько, сколько требуется для безопасности;Думаю, что продолжу переходить на красный при необходимости
4.21.2024 21:42:18;Никогда;Не перехожу на красный;Не перехожу на красный;Дождусь зеленый;Дождусь зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что многие пойдут;Не чувствую себя безопасно и не перехожу;40 секунд;Не перехожу на красный
4.21.2024 21:44:15;Несколько раз в месяц;Тороплюсь на подъезжающий общественный транспорт;Не перехожу на красный;Дождусь зеленый;Дождусь зеленый;Дождусь зеленый;Нет;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что многие пойдут;Не чувствую себя безопасно, но перехожу так как тороплюсь или по другим причинам;30 секунд;Думаю, что не буду
4.21.2024 21:48:30;Никогда;Не перехожу на красный;Не перехожу на красный;Дождусь зеленый;Дождусь зеленый;Дождусь зеленый;Нет;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что пойдет несколько человек;Не чувствую себя безопасно и не перехожу;50 секунд;Не перехожу на красный
4.21.2024 21:50:20;Никогда;Не перехожу на красный;Не перехожу на красный;Дождусь зеленый;Дождусь зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что многие пойдут;Не чувствую себя безопасно и не перехожу;60 секунд;Не перехожу на красный
4.21.2024 21:51:05;Несколько раз в год;Тороплюсь на подъезжающий общественный транспорт;Не перехожу на красный;Перейду вне зависимости сколько осталось ждать зеленый;Дождусь зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что многие пойдут;Не чувствую себя безопасно, но перехожу так как тороплюсь или по другим причинам;30 секунд;Не перехожу на красный
4.21.2024 21:54:15;Несколько раз в год;Тороплюсь на работу/по делам;Не перехожу на красный;Дождусь зеленый;Дождусь зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что пойдет несколько человек;Не чувствую себя безопасно и не перехожу;Столько, сколько требуется для безопасности;Не перехожу на красный
4.21.2024 21:56:54;Несколько раз в месяц;Тороплюсь на подъезжающий общественный транспорт;Перехожу на красный, даже если другие не перебегают;Перейду, если еще долго ждать зеленый;Перейду, если еще долго ждать зеленый;Дождусь зеленый;Да;Перехожу;Считаю, что пойдет несколько человек;Не чувствую себя безопасно, но перехожу так как тороплюсь или по другим причинам;30 секунд;Думаю, что не буду
4.21.2024 22:02:24;Никогда;Не перехожу на красный;Не перехожу на красный;Дождусь зеленый;Дождусь зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что многие пойдут;Не чувствую себя безопасно и не перехожу;30 секунд;Не перехожу на красный
4.21.2024 22:05:40;Никогда;Не перехожу на красный;Не перехожу на красный;Дождусь зеленый;Дождусь зеленый;Дождусь зеленый;Нет;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что многие пойдут;Не чувствую себя безопасно и не перехожу;Столько, сколько требуется для безопасности;Не перехожу на красный
4.21.2024 22:08:07;Никогда;Не перехожу на красный;Не перехожу на красный;Дождусь зеленый;Дождусь зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что пойдет несколько человек;Не чувствую себя безопасно и не перехожу;Столько, сколько требуется для безопасности;Не перехожу на красный
4.21.2024 22:21:21;Несколько раз в неделю;Нет машин на проезжей части и не вижу смысла стоять ;Перехожу на красный, даже если другие не перебегают;Перейду вне зависимости сколько осталось ждать зеленый;Дождусь зеленый;Дождусь зеленый;Нет;Перехожу;Считаю, что пойдет несколько человек;чувствую себя безопасно;20 секунд;Думаю, что продолжу переходить на красный при необходимости
4.21.2024 22:46:06;Несколько раз в месяц;Вижу,что нет машин совсем;Не перехожу на красный;Перейду, если еще долго ждать зеленый;Дождусь зеленый;Дождусь зеленый;Нет;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что многие пойдут;Не чувствую себя безопасно, но перехожу так как тороплюсь или по другим причинам;30 секунд;Думаю, что продолжу переходить на красный при необходимости
4.21.2024 22:53:43;Несколько раз в месяц;Красный свет горит слишком долго;Не перехожу на красный;Перейду вне зависимости сколько осталось ждать зеленый;Перейду вне зависимости сколько осталось ждать зеленый;Дождусь зеленый;Нет;Перехожу;Считаю, что пойдет несколько человек;чувствую себя безопасно;40 секунд;Думаю, что продолжу переходить на красный при необходимости
4.21.2024 23:38:49;Несколько раз в год;Рядом нет пешеходного перехода;Не перехожу на красный;Дождусь зеленый;Дождусь зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что пойдет несколько человек;Не чувствую себя безопасно и не перехожу;60 секунд;Не перехожу на красный
4.21.2024 23:47:50;Никогда;Если светофор явно неисправен, а до другого идти далеко. Но прежде убеждаюсь, что переход безопасен ;Не перехожу на красный;Дождусь зеленый;Дождусь зеленый;Дождусь зеленый;Нет;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что пойдет несколько человек;Не чувствую себя безопасно и не перехожу;Столько, сколько требуется для безопасности;Не перехожу на красный
4.21.2024 23:50:40;Никогда;Не перехожу на красный;Не перехожу на красный;Дождусь зеленый;Дождусь зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что многие пойдут;Не чувствую себя безопасно и не перехожу;20 секунд;Не перехожу на красный
4.21.2024 23:59:39;Несколько раз в год;Не перехожу на красный;Не перехожу на красный;Дождусь зеленый;Дождусь зеленый;Дождусь зеленый;Нет;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что пойдет несколько человек;Не чувствую себя безопасно и не перехожу;Более 90 секунд;Не перехожу на красный
4.22.2024 0:10:50;Никогда;Не перехожу на красный;Не перехожу на красный;Дождусь зеленый;Дождусь зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что многие пойдут;Не чувствую себя безопасно и не перехожу;50 секунд;Не перехожу на красный
4.22.2024 0:12:09;Никогда;Не перехожу на красный;Не перехожу на красный;Дождусь зеленый;Дождусь зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что многие пойдут;Не чувствую себя безопасно и не перехожу;30 секунд;Не перехожу на красный
4.22.2024 21:15:17;Никогда;Не перехожу на красный;Не перехожу на красный;Дождусь зеленый;Дождусь зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что многие пойдут;Не чувствую себя безопасно и не перехожу;Столько, сколько требуется для безопасности;Не перехожу на красный
4.22.2024 21:16:51;Несколько раз в неделю;Тороплюсь на работу/по делам;Не перехожу на красный;Перейду, если еще долго ждать зеленый;Дождусь зеленый;Дождусь зеленый;Нет;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что пойдет несколько человек;Не чувствую себя безопасно, но перехожу так как тороплюсь или по другим причинам;60 секунд;Думаю, что продолжу переходить на красный при необходимости
4.22.2024 22:35:16;Несколько раз в месяц;Тороплюсь на подъезжающий общественный транспорт;Перехожу на красный, даже если другие не перебегают;Перейду, если еще долго ждать зеленый;Перейду, если еще долго ждать зеленый;Перейду, если еще долго ждать зеленый;Нет;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что многие пойдут;Не чувствую себя безопасно, но перехожу так как тороплюсь или по другим причинам;Менее 20 секунд;Думаю, что не буду
4.22.2024 22:35:28;Несколько раз в год;Тороплюсь на подъезжающий общественный транспорт;Не перехожу на красный;Дождусь зеленый;Дождусь зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что многие пойдут;Не чувствую себя безопасно, но перехожу так как тороплюсь или по другим причинам;40 секунд;Думаю, что не буду
4.22.2024 22:38:43;Несколько раз в год;Тороплюсь на подъезжающий общественный транспорт;Не перехожу на красный;Перейду, если еще долго ждать зеленый;Перейду, если еще долго ждать зеленый;Перейду, если еще долго ждать зеленый;Нет;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что многие пойдут;Не чувствую себя безопасно, но перехожу так как тороплюсь или по другим причинам;Столько, сколько требуется для безопасности;Думаю, что продолжу переходить на красный при необходимости
4.22.2024 22:39:35;Никогда;Не перехожу на красный;Не перехожу на красный;Дождусь зеленый;Дождусь зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что пойдет несколько человек;Не чувствую себя безопасно и не перехожу;30 секунд;Не перехожу на красный
4.22.2024 22:40:40;Несколько раз в неделю;Перехожу на красном только в одном месте, там часто нет машин и светофор работает на кнопке. Когда поток большой нажимаю на кнопку и жду зелёный свет.;Не перехожу на красный;Перейду, если еще долго ждать зеленый;Дождусь зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Перехожу;Считаю, что многие пойдут;Не чувствую себя безопасно, но перехожу так как тороплюсь или по другим причинам;Столько, сколько требуется для безопасности;Думаю, что продолжу переходить на красный при необходимости
4.22.2024 22:45:34;Несколько раз в месяц;Тороплюсь на работу/по делам;Да, перехожу вместе с ними;Перейду, если еще долго ждать зеленый;Дождусь зеленый;Дождусь зеленый;Нет;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что пойдет несколько человек;Не чувствую себя безопасно, но перехожу так как тороплюсь или по другим причинам;40 секунд;Думаю, что не буду
4.22.2024 22:47:35;Никогда;Не перехожу на красный;Не перехожу на красный;Дождусь зеленый;Дождусь зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что многие пойдут;Не чувствую себя безопасно и не перехожу;40 секунд;Не перехожу на красный
4.22.2024 22:54:55;Никогда;Не перехожу на красный;Не перехожу на красный;Дождусь зеленый;Дождусь зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что многие пойдут;Не чувствую себя безопасно и не перехожу;Столько, сколько требуется для безопасности;Не перехожу на красный
